Site,"New Castle, Virginia"
Contest,"Region 4 South, 2017"
"Courtesy of","John Godrey (QT)",JohnGQT2
Dated,"22 July 2017"
"Magnetic Variation",8.3W
"Time Zone Name","US/Eastern"
Datum,100
"File created on Saturday, 22 July 2017 at 23:08 GMT"
"The primary specification of the waypoint coordinates is","degrees, minutes, and seconds"
"UNOFFICIAL, USE AT YOUR OWN RISK"

"Do not use for navigation, for flight verification only."

"Always consult the relevant publications for current and correct"
"information. This service is provided free of charge with no warrantees,"
"expressed or implied."
"User assumes all risk of use."


Number,Name,"North/South","Latitude [degrees]","Latitude [minutes]","Latitude [seconds]","Latitude [decimal minutes]","Latitude [decimal degrees]","East/West","Longitude [degrees]","Longitude [minutes]","Longitude [seconds]","Longitude [decimal minutes]","Longitude [decimal degrees]","Elevation [Feet]","Control P",Turnpoint,ID[3],ID[5],ID[6],ID[10],ID[12],State,"ICAO Identifier",
0,Lynchburg,N,37,19,36,19.6,37.3266667,W,79,12,2,12.03333,-79.2005556,938,A,"4/22 27.65",LNC,Lnchb,Lnchbr,Lynchburg,Lynchburg,Virginia,LYH,
0,"Mercer County",N,37,17,45,17.75,37.2958333,W,81,12,28,12.46667,-81.2077778,2857,A,"5/23 22.9",MRC,MrcrC,MrcrCn,MercerCont,MercerCounty,"West Virginia",BLF,
0,Micro,N,36,44,8,44.13333,36.7355556,W,80,26,57,26.95,-80.4491667,2950,AP,"8/26 30T",MCR,Micro,Micro,Micro,Micro,Virginia,1VA1,
0,Miller,N,37,19,40,19.66667,37.3277778,W,79,24,17,24.28333,-79.4047222,760,AP,"5/23 19T",MIL,Millr,Miller,Miller,Miller,Virginia,91VA,
0,"Mountain Empire",N,36,53,41,53.68333,36.8947222,W,81,21,0,21,-81.35,2559,A,"8/26 22.7",MtE,Mtnmp,Mtnmpr,"Mtn Empire","Mtn Empire",Virginia,MKJ,
0,Nashs,N,37,23,23,23.38333,37.3897222,W,78,48,49,48.81667,-78.8136111,785,PA,,NSH,Nashs,Nashs,Nashs,Nashs,Virginia,10VA,
0,"NRAO Green Bank",N,38,25,50,25.83333,38.4305556,W,79,49,32,49.53333,-79.8255556,2710,AP,"12/30 22.8",NRG,NRGrn,NRGrnB,NRAOGrnBnk,NRAOGreenBnk,"West Virginia",WV52,
0,Peterstown,N,37,24,4,24.06667,37.4011111,W,80,48,26,48.43333,-80.8072222,1590,L,"18/36 20T",PTR,Ptrst,Ptrstw,Peterstown,Peterstown,,,
0,"Red Birds Airyard",N,37,6,46,6.76667,37.1127778,W,79,36,33,36.55,-79.6091667,940,PA,,RDB,RdBrd,RdBrds,RedBrdsrrd,RedBirdsArrd,Virginia,2VA0,
0,"River Farmer",N,37,40,42,40.7,37.6783333,W,79,48,18,48.3,-79.805,1000,PA,"Avoid Fields",RIV,RvrFr,RvrFrm,RiverFarmr,"River Farmer",Virginia,79VG,
